id;description;code;url;enabled;start_date;end_date
1;ADP bandwidth;Credit Card Account;http://schuyler.org;true;2020-12-13;2020-12-13
2;Health;invoice;http://kenneth.biz;false;2020-12-13;2020-12-12
3;Mouse;Associate Regional;https://keaton.net;false;2020-12-13;2020-12-13
4;Personal Loan Account invoice Baby;Keys;https://josie.net;false;2020-12-13;2020-12-13
5;Mount architecture;Sports Health;http://baron.org;false;2020-12-13;2020-12-13
6;Bike;incubate;https://shirley.biz;false;2020-12-13;2020-12-13
7;Handcrafted Rubber Pants hard drive robust;Avon Bahamian Dollar Secured;https://suzanne.net;true;2020-12-13;2020-12-13
8;knowledge user Electronics Auto Loan Account;Savings Account;http://julian.name;false;2020-12-13;2020-12-13
9;morph;lavender quantifying eyeballs;http://angelica.biz;false;2020-12-13;2020-12-13
10;Handmade;wireless online Branch;http://salvatore.net;true;2020-12-13;2020-12-13
